Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,3/1/2023,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IBRD only,IBD,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
IDA blend,IDB,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,418480000,402410000,459520000,487830000,427810000,454470000,554840000,523520000,515070000,468470000,515960000,559980000,684040000,515730000,495810000,403840000,387830000,335280000,361990000,353620000,287690000,
IDA only,IDX,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
India,IND,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,286860000,313940000,327970000,418440000,387080000,352370000,358350000,279720000,282110000,266040000,282580000,329020000,356150000,369980000,403620000,389260000,352550000,495320000,409620000,490860000,534980000,
Not classified,INX,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
"Iran, Islamic Rep.",IRN,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,64060000,57750000,58950000,72040000,76370000,73270000,69450000,76080000,75740000,76310000,73180000,75590000,93090000,89910000,86040000,85920000,87130000,103910000,113310000,139860000,137680000,
Iraq,IRQ,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,8160000,8260000,8350000,551400000,398010000,1043050000,792200000,103920000,113250000,132690000,315010000,165770000,119830000,120550000,79880000,92940000,86420000,190170000,183670000,181910000,252870000,
Iceland,ISL,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
Israel,ISR,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,25890000,40760000,64630000,51710000,56320000,,,,,,,,,,,,,,,,,
Italy,ITA,"Technical cooperation grants (BoP, current US$)",BX.GRT.TECH.CD.WD,,,,,,,,,,,,,,,,,,,,,,
